Loan Description,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,,Issue Date:,Payable Date:,,Interest Payable:,,Issued:,Retired:,Inflation Adjusted:,,Outstanding:
,,Bills1,,4.74,,7/17/1994,1/5/1995,,1/5/1995,,12315,,,,25264
,,Bills2,,4.92,,10/6/1994,,,,,12949,,,,
,,Bills3,,3.52,,1/13/1994,1/12/1995,,1/12/1995,,16037,,,,41671
,,Bills4,,4.94,,7/14/1994,,,,,12332,,,,
,,Bills5,,4.92,,10/13/1994,,,,,13302,,,,
,,Bills6,,4.71,,7/21/1994,1/19/1995,,1/19/1995,,12729,,,,25917
,,Bills7,,4.92,,10/20/1994,,,,,13188,,,,
,,Bills8,,4.83,,7/28/1994,1/26/1995,,1/26/1995,,12600,,,,26277
,,Bills9,,5.07,,10/27/1994,,,,,13677,,,,
,,Bills10,,4.75,,8/14/1994,2/2/1995,,2/2/1995,,12628,,,,26498
,,Bills11,,5.07,,11/3/1994,,,,,13870,,,,
,,Bills12,,3.59,,2/10/1994,2/9/1995,,2/9/1995,,16521,,,,43125
,,Bills13,,4.93,,8/11/1994,,,,,12862,,,,
,,Bills14,,5.25,,11/10/1994,,,,,13741,,,,
,,Bills15,,4.99,,8/18/1994,2/16/1995,,2/16/1995,,13232,,,,27137
,,Bills16,,5.29,,11/17/1994,,,,,13905,,,,
,,Bills17,,4.98,,8/25/1994,2/23/1995,,2/23/1995,,12394,,,,26187
,,Bills18,,5.4,,11/25/1994,,,,,13793,,,,
,,Bills19,,4.93,,9/1/1994,3/2/1995,,3/2/1995,,12395,,,,26285
,,Bills20,,5.44,,12/1/1994,,,,,13890,,,,
,,Bills21,,4.03,,3/10/1994,3/9/1995,,3/9/1995,,16531,,,,42660
,,Bills22,,4.89,,9/8/1994,,,,,12274,,,,
,,Bills23,,5.83,,12/8/1994,,,,,13855,,,,
,,Bills24,,4.99,,9/15/1994,3/16/1995,,3/16/1995,,11957,,,,25889
,,Bills25,,5.76,,12/15/1994,,,,,13933,,,,
,,Bills26,,5.05,,9/22/1994,3/23/1995,,3/23/1995,,11777,,,,24923
,,Bills27,,5.59,,12/22/1994,,,,,13147,,,,
,,Bills28,,5.22,,9/29/1994,3/30/1995,,3/30/1995,,11678,,,,24935
,,Bills29,,5.56,,12/29/1994,,,,,13257,,,,
,,Bills30,,4.3,,4/7/1994,4/6/1995,,4/6/1995,,16623,,,,29542
,,Bills31,,5.38,,10/6/1994,,,,,12920,,,,
,,Bills32,,5.34,,10/13/1994,4/13/1995,,4/13/1995,,13284,,,,13284
,,Bills33,,5.34,,10/20/1994,4/20/1995,,4/20/1995,,13128,,,,13128
,,Bills34,,5.51,,10/27/1994,4/27/1995,,4/27/1995,,13670,,,,13670
,,Bills35,,4.77,,5/5/1994,5/4/1995,,5/4/1995,,16593,,,,30643
,,Bills36,,5.51,,11/3/1994,,,,,14050,,,,
,,Bills37,,5.68,,11/10/1994,5/11/1995,,5/11/1995,,13707,,,,13707
,,Bills38,,5.72,,11/17/1994,5/18/1995,,5/18/1995,,13888,,,,13888
,,Bills39,,5.85,,11/25/1994,5/25/1995,,5/25/1995,,13767,,,,13767
,,Bills40,,5.01,,6/2/1994,6/1/1995,,6/1/1995,,16913,,,,30969
,,Bills41,,5.86,,12/1/1994,,,,,14056,,,,
,,Bills42,,6.33,,12/8/1994,6/8/1995,,6/8/1995,,14160,,,,14160
,,Bills43,,6.32,,12/15/1994,6/15/1995,,6/15/1995,,14358,,,,14358
,,Bills44,,6.3,,12/22/1994,6/22/1995,,6/22/1995,,13183,,,,13183
,,Bills45,,5.04,,6/30/1994,6/29/1995,,6/29/1995,,16757,,,,30246
,,Bills46,,6.24,,12/29/1994,,,,,13489,,,,
,,Bills47,,5.2,,7/28/1994,7/27/1995,,7/27/1995,,16963,,,,16963
,,Bills48,,5.36,,8/25/1994,8/24/1995,,8/24/1995,,16837,,,,16837
,,Bills49,,5.38,,9/22/1994,9/21/1995,,9/21/1995,,16805,,,,16805
,,Bills50,,5.72,,10/20/1994,10/19/1995,,10/19/1995,,17276,,,,17276
,,Bills51,,6.09,,11/17/1994,11/16/1995,,11/16/1995,,17480,,,,17480
,,Bills52,,6.75,,12/15/1994,12/14/1995,,12/14/1995,,17078,,,,17078
,,,,,,,,,,,,,,,
,Treasury Notes,,,Rate:,,Issue Date:,Payable:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,CUSIP:,,,,,,,,,,,,,,
,,Note1,,11.25,,2/15/1985,2/15/1995,, 2/15 - 8/15,,6934,,,,6934
,,Note2,,11.25,,5/15/1985,5/15/1995,,5/15 - 11/15,,7127,,,,7127
,,Note3,,10.5,,8/15/1985,8/15/1995,,2/15 - 8/15,,7956,,,,7956
,,Note4,,9.5,,11/15/1985,11/15/1995,,5/15 - 11/15,,7319,,,,7319
,,Note5,,8.625,,1/15/1988,1/15/1995,,1/15 - 7/15,,7343,,,,7343
,,Note6,,8.375,,4/15/1988,4/15/1995,,4/15 - 10/15,,7018,,,,7018
,,Note7,,8.5,,7/15/1988,7/15/1995,,1/15 - 7/15,,6805,,,,6805
,,Note8,,8.5,,10/17/1988,10/15/1995,,4/15 - 10/15,,7195,,,,7195
,,Note9,,7.75,,12/1/1989,2/15/1995,,2/15 - 8/15,,8344,,,,8344
,,Note10,,8.5,,3/1/1990,5/15/1995,,5/15 - 11/15,,8293,,,,8293
,,Note11,,8.5,,6/1/1990,8/15/1995,,2/15 - 8/15,,8877,,,,8877
,,Note12,,8.5,,9/4/1990,11/15/1995,,5/15 - 11/15,,9023,,,,9023
,,Note13,,5.5,,2/18/1992,2/15/1995,,2/15 - 8/15,,17774,,,,17774
,,Note14,,5.875,,5/15/1992,5/15/1995,,5/15 - 11/15,,19152,,,,19152
,,Note15,,4.625,,8/17/1992,8/15/1995,,2/15 - 8/15,,18038,,,,18038
,,Note16,,5.125,,11/16/1992,11/15/1995,,5/15 - 11/15,,19187,,,,19187
,,Note17,,4.25,,2/1/1993,1/31/1995,,1/31 - 7/31,,16578,,,,16578
,,Note18,,3.875,,3/1/1993,2/28/1995,,2/28 - 8/31,,16613,,,,16613
,,Note19,,3.875,,3/31/1993,3/31/1995,,3/31 - 9/30,,17305,,,,17305
,,Note20,,3.875,,4/30/1993,4/30/1995,,4/30 - 10/31,,16797,,,,16797
,,Note21,,4.125,,6/1/1993,5/31/1995,,5/31 - 11/30,,17527,,,,17527
,,Note22,,4.125,,6/30/1993,6/30/1995,,6/30 - 12/31,,18164,,,,18164
,,Note23,,4.25,,8/2/1993,7/31/1995,,1/31 - 7/31,,17183,,,,17183
,,Note24,,3.875,,8/31/1993,8/31/1995,,2/28 - 8/31,,17577,,,,17577
,,Note25,,3.875,,9/30/1993,9/30/1995,,3/31 - 9/30,,17904,,,,17904
,,Note26,,3.875,,11/1/1993,10/31/1995,,4/30 - 10/31,,18271,,,,18271
,,Note27,,4.25,,11/30/1993,11/30/1995,,5/31 - 11/30,,18604,,,,18604
,,Note28,,4.25,,12/31/1993,12/31/1995,,6/30 - 12/31,,19305,,,,19305
,,Note29,,8.875,,2/15/1986,2/15/1996,,2/15 - 8/15,,7574,-872,,,8446
,,Note30,,8.875,,2/15/1986,2/15/1996,,2/15 - 8/16,,1001,872,,,129
,,Note31,,7.375,,5/15/1986,5/15/1996,,5/15 - 11/15,,20086,,,,20086
,,Note32,,7.25,,11/15/1986,11/15/1996,,5/15 - 11/15,,20259,,,,20259
,,Note33,,9.25,,1/17/1989,1/15/1996,,1/15 - 7/15,,7421,,,,7421
,,Note34,,9.375,,4/17/1989,4/15/1996,,4/15 - 10/15,,7782,,,,7782
,,Note35,,7.875,,7/17/1989,7/15/1996,,1/15 - 7/15,,7725,,,,7725
,,Note36,,8,,10/16/1989,10/15/1996,,4/15 - 10/15,,7989,,,,7989
,,Note37,,7.875,,12/3/1990,2/15/1999,,2/15 - 8/15,,9055,,,,9055
,,Note38,,7.5,,1/31/1991,1/31/1996,,1/31 - 7/31,,9438,,,,9438
,,Note39,,7.5,,2/28/1991,2/29/1996,,2/28 - 8/31,,9622,,,,9622
,,Note40,,7.75,,4/1/1991,3/31/1996,,3/31 - 9/30,,9081,,,,9081
,,Note41,,7.625,,4/31/1991,4/30/1996,,4/30 - 10/31,,9496,,,,9496
,,Note42,,7.625,,5/31/1991,5/31/1996,,5/31 - 11/30,,9617,,,,9617
,,Note43,,7.875,,7/1/1991,6/30/1996,,6/30 - 12/31,,9770,,,,9770
,,Note44,,7.875,,7/31/1991,7/31/1996,,1/31 - 7/31,,9869,,,,9869
