Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,,,,,,,,,,Issued,Retired,Inflation Adj.,,Outstanding
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bill 1,,11.04,1/8/1980,,1/2/1981,,1/2/1981,,4018,,,,12125
,,Bill 2,,8.097,7/3/1980,,,,,,4013,,,,
,,Bill 3,,11.524,10/2/1980,,,,,,4094,,,,
,,Bill 4,,8.114,7/10/1980,,1/8/1981,,1/8/1981,,4016,,,,7954
,,Bill 5,,11.294,10/9/1980,,,,,,3938,,,,
,,Bill 6,,8.11,7/17/1980,,1/15/1981,,1/15/1981,,4017,,,,7974
,,Bill 7,,11.339,10/16/1980,,,,,,3957,,,,
,,Bill 8,,7.906,7/24/1980,,1/22/1981,,1/22/1981,,4007,,,,7937
,,Bill 9,,11.414,10/23/1980,,,,,,3930,,,,
,,Bill 10,,11.211,2/5/1980,,,,,,3989,,,,11919
,,Bill 11,,8.276,7/31/1980,,1/29/1981,,1/29/1981,,4012,,,,
,,Bill 12,,12.332,10/30/1980,,,,,,3918,,,,
,,Bill 13,,8.876,8/7/1980,,2/5/1981,,2/5/1981,,4017,,,,8041
,,Bill 14,,12.344,11/6/1980,,,,,,4024,,,,
,,Bill 15,,8.891,8/14/1980,,2/12/1981,,2/12/1981,,3927,,,,7950
,,Bill 16,,13.514,11/13/1980,,,,,,4023,,,,
,,Bill 17,,9.765,8/21/1980,,2/19/1981,,2/19/1981,,3818,,,,7813
,,Bill 18,,14.309,11/20/1980,,,,,,3995,,,,
,,Bill 19,,13.527,3/4/1980,,2/26/1981,,2/26/1981,,4020,,,,11986
,,Bill 20,,10.25,8/28/1980,,,,,,3931,,,,
,,Bill 21,,14.384,11/28/1980,,,,,,4035,,,,
,,Bill 22,,10.25,9/4/1980,,3/5/1981,,3/5/1981,,3832,,,,8359
,,Bill 23,,14.65,12/4/1980,,,,,,4527,,,,
,,Bill 24,,10.234,9/11/1980,,3/12/1981,,3/12/1981,,3853,,,,7881
,,Bill 25,,16.334,12/11/1980,,,,,,4028,,,,
,,Bill 26,,10.875,9/18/1980,,3/19/1981,,3/19/1981,,3839,,,,8049
,,Bill 27,,16.667,12/18/1980,,,,,,4210,,,,
,,Bill 28,,14.459,4/1/1980,,3/26/1981,,3/26/1981,,4016,,,,11883
