Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,,,,,,,,,,Issued,Retired,Inflation Adj.,,Outstanding
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,,Issue Date:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bill 1,,7.08,,7/5/1985,1/2/1986,,1/2/1986,,7070,,,,13901
,,Bill 2,,7.07,,10/3/1985,,,,,6831,,,,
,,Bill 3,,7,,7/11/1985,1/9/1986,,1/9/1986,,7248,,,,14293
,,Bill 4,,7.14,,10/10/1985,,,,,7045,,,,
,,Bill 5,,7.2,,7/18/1985,1/16/1986,,1/16/1986,,7283,,,,14315
,,Bill 6,,7.2,,10/17/1985,,,,,7032,,,,
,,Bill 7,,8.39,,1/24/1985,1/23/1986,,1/23/1986,,8556,,,,26796
,,Bill 8,,7.35,,7/25/1985,,,,,7332,,,,
,,Bill 9,,7.18,,10/24/1985,,,,,6898,,,,
,,Bill 10,,7.48,,11/15/1985,,,,,4010,,,,
,,Bill 11,,7.4,,8/1/1985,1/30/1986,,1/30/1986,,7239,,,,14412
,,Bill 12,,7.24,,10/31/1985,,,,,7173,,,,
,,Bill 13,,7.52,,8/8/1985,2/6/1986,,2/6/1986,,7277,,,,14525
,,Bill 14,,7.21,,11/7/1985,,,,,7248,,,,
,,Bill 15,,7.36,,8/15/1985,2/13/1986,,2/13/1986,,7459,,,,14331
,,Bill 16,,7.21,,11/14/1985,,,,,6872,,,,
,,Bill 17,,8.46,,2/21/1985,2/20/1986,,2/20/1986,,8525,,,,23229
,,Bill 18,,7.28,,8/22/1985,,,,,7269,,,,
,,Bill 19,,7.24,,11/21/1985,,,,,7435,,,,
,,Bill 20,,7.21,,8/29/1985,2/27/1986,,2/27/1986,,7263,,,,14698
,,Bill 21,,7.15,,11/29/1985,,,,,7435,,,,
,,Bill 22,,7.3,,9/5/1985,3/6/1986,,3/6/1986,,7261,,,,14908
,,Bill 23,,7.19,,12/5/1985,,,,,7647,,,,
,,Bill 24,,7.39,,9/12/1985,3/13/1986,,3/13/1986,,7238,,,,14866
,,Bill 25,,7.05,,12/12/1985,,,,,7628,,,,
,,Bill 26,,9.24,,3/21/1985,3/20/1986,,3/20/1986,,8529,,,,23388
,,Bill 27,,7.32,,9/19/1985,,,,,7233,,,,
,,Bill 28,,7,,12/19/1985,,,,,7626,,,,
