Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,,,,,,,,,,Issued,Retired,Inflation Adj.,Outstanding,
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bill 1,,6.262,7/3/1975,,1/2/1976,,1/2/1976,,2701,,,,5702
,,Bill 2,,6.547,10/2/1975,,,,,,3001,,,,
,,Bill 3,,6.509,7/10/1975,,1/8/1976,,1/8/1976,,2901,,,,6004
,,Bill 4,,6.238,10/9/1975,,,,,,3103,,,,
,,Bill 5,,6.378,1/14/1975,,1/13/1976,,1/13/1976,,2001,,,,2001
,,Bill 6,,6.343,7/17/1975,,1/15/1976,,1/15/1976,,2905,,,,5905
,,Bill 7,,6.045,10/16/1975,,,,,,3000,,,,
,,Bill 8,,6.627,7/24/1975,,1/22/1976,,1/22/1976,,2902,,,,5907
,,Bill 9,,5.886,10/23/1975,,,,,,3005,,,,
,,Bill 10,,6.719,7/31/1975,,1/29/1976,,1/29/1976,,2902,,,,5901
,,Bill 11,,5.685,10/30/1975,,,,,,2999,,,,
,,Bill 12,,6.56,4/14/1975,,1/31/1976,,1/31/1976,,1586,,,,1586
,,Bill 13,,6.864,8/7/1975,,2/5/1976,,2/5/1976,,3002,,,,6205
,,Bill 14,,5.602,11/6/1975,,,,,,3203,,,,
,,Bill 15,,5.313,2/11/1975,,2/10/1976,,2/10/1976,,2103,,,,2103
,,Bill 16,,6.809,8/14/1975,,2/13/1976,,2/13/1976,,3101,,,,6304
,,Bill 17,,5.279,11/13/1975,,,,,,3203,,,,
,,Bill 18,,7,8/21/1975,,2/19/1976,,2/19/1976,,3202,,,,6405
,,Bill 19,,5.472,11/20/1975,,,,,,3203,,,,
,,Bill 20,,7.085,8/28/1975,,2/26/1976,,2/26/1976,,3202,,,,6433
,,Bill 21,,5.521,11/28/1975,,,,,,3231,,,,
,,Bill 22,,6.866,9/4/1975,,3/4/1976,,3/4/1976,,3203,,,,6406
,,Bill 23,,5.549,12/4/1975,,,,,,3203,,,,
,,Bill 24,,5.637,3/11/1975,,3/9/1976,,3/9/1976,,2102,,,,2102
,,Bill 25,,6.889,9/11/1975,,3/11/1976,,3/11/1976,,3202,,,,6109
,,Bill 26,,5.634,12/11/1975,,,,,,2907,,,,
